tipo,nombre,url,descripcion,ejemplo
etiqueta,html,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,head,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,title,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,link,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,meta,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,style,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,body,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,nav,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,main,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,section,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,article,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,aside,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,h1,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,h2,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,h3,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,h4,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,h5,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,h6,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,header,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,footer,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,hr,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,pre,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,blockquote,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,ol,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,ul,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,li,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,dl,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,dt,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,dd,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,figure,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,figcaption,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,div,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
etiqueta,strong,https://carontestudio.com/blog/listado-de-etiquetas-html/,Etiqueta HTML extraído de Carontestudio,
